Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto;BSN;Strasse;PLZ;Schulart;lat;lng
Käthe-Kruse-Grundschule;Steglitz-Zehlendorf;Fenster: Tischler- und Malerarbeiten;10000;06G26;Tietzenweg 108;12203;Grundschule;52.438186;13.310138
Mercator-Grundschule;Steglitz-Zehlendorf;Abriss des MUR-Gebäudes;70000;06G30;Mercatorweg 8-10;12207;Grundschule;52.41225;13.317376
Friedrich-Drake-Schule;Steglitz-Zehlendorf;Errichtung Verbinderbau, Sanierungsarbeiten Erweiterungsbau und Geb.udehülle, Herstellung Außenanlagen;1145000;06G33;Drakestr. 80;12205;Grundschule;52.43254;13.30621
34. Schule (Grundschule);Steglitz-Zehlendorf;Sanierungs- und Reparaturarbeiten, Herrichtung von Klassenräumen;400000;02G34;Scharnweberstr. 19;10247;Grundschule;52.51279;13.46783
Kopernikus-Schule (Integrierte Sekundarschule);Steglitz-Zehlendorf;Bodenbelagsarbeiten;10000;06K03;Lepsiusstr. 24-28;12163;Integrierte Sekundarschule;52.4643;13.32069
Max-von-Laue-Schule;Steglitz-Zehlendorf;Fenster: Tischler- und Malerarbeiten;10000;06K08;Dürerstr. 27;12203;Integrierte Sekundarschule;52.43725;13.305628
Dreilinden-Gymnasium;Steglitz-Zehlendorf;Herstellung Außenanlagen;100000;06Y04;Dreilindenstr. 49;14109;Gymnasium;52.42057;13.18778
Beethoven-Oberschule;Steglitz-Zehlendorf;Sanierung 1.BA, 70er-Jahre-Bau;1200000;06Y06;Barbarastr. 9;12249;Gymnasium;52.43293;13.34283
Lilienthal-Gymnasium;Steglitz-Zehlendorf;Sanierung Sporthalle;1600000;06Y10;Ringstr. 2-3;12203;Gymnasium;52.43595;13.31215
Willi-Graf-Gymnasium;Steglitz-Zehlendorf;Sanierung Sanitäranlagen;370000;06Y12;Ostpreußendamm 166;12207;Gymnasium;52.43469;13.32096
Gymnasium Steglitz;Steglitz-Zehlendorf;Sanierung Außenanlagen Sport-Schulhof;175000;06Y13;Heesestr. 15;12169;Gymnasium;52.45671;13.32644
Spreewald-Grundschule;Tempelhof-Schöneberg;Prov. Herrichtung des Rettungsweges für den Hortbereich, Errichtung eines Außenzaunes;605000;07G01;Pallasstr. 15;10781;Grundschule;52.49539;13.35693
Finow-Grundschule;Tempelhof-Schöneberg;Div. Teilsanierungen einschl. Barrierefreiheit, funktionale Anpassungen;150000;07G02;Welserstr. 16-22;10777;Grundschule;52.49823;13.34251
Werbellinsee-Grundschule;Tempelhof-Schöneberg;Einbau einer neuen Schließanlage;60000;07G03;Luitpoldstr. 38;10781;Grundschule;52.495036;13.348236
Havelland-Grundschule;Tempelhof-Schöneberg;Teilsanierung Fassade, Sanierung des Verbinderganges Fassade;2500000;07G05;Kolonnenstr. 30;10829;Grundschule;52.484772;13.367681
Lindenhof-Grundschule;Tempelhof-Schöneberg;Weiterführung der Sanierung Geb. Reglinstraße;100000;07G07;Reglinstr. 29;12105;Grundschule;52.45809;13.36325
Scharmützelsee-Grundschule;Tempelhof-Schöneberg;Sanierung der Toiletten und Außenanlagen;20000;07G12;Hohenstaufenstr. 49;10779;Grundschule;52.494177;13.343268
Neumark-Grundschule;Tempelhof-Schöneberg;Sanierung Befall echter Hausschwamm;1200000;07G13;Steinmetzstr. 46-50;10783;Grundschule;52.49282;13.36249
Löcknitz-Grundschule;Tempelhof-Schöneberg;Sanierung der Klassenräume;150000;07G14;Berchtesgadener Str. 10-11;10779;Grundschule;52.489558;13.343356
Ruppin-Grundschule;Tempelhof-Schöneberg;Sanierung der Sichtmauerwerksfassade;1600000;07G16;Offenbacher Str. 5A;14197;Grundschule;52.47538;13.32137
Stechlinsee-Grundschule;Tempelhof-Schöneberg;Einbau einer neuen Schließanlage;50000;07G17;Rheingaustr. 7;12161;Grundschule;52.46934;13.32242
Paul-Klee-Grundschule;Tempelhof-Schöneberg;Sanierung und erweiterter Ausbau KG;1013000;07G22;Konradinstr. 15-17;12105;Grundschule;52.454;13.37538
Tempelherren-Grundschule;Tempelhof-Schöneberg;Erneuerung der Sicherheitsbeleuchtung;120000;07G24;Boelckestr. 58-60;12101;Grundschule;52.478603;13.37647
Kiepert-Grundschule;Tempelhof-Schöneberg;Energetische Fassadensanierung der MUR;850000;07G28;Prechtlstr. 21-23;12277;Grundschule;52.41591;13.37327
Käthe-Kollwitz-Grundschule;Tempelhof-Schöneberg;Brandschutzsanierung, Barrierefreiheit, Grundinstandsetzung;1000000;07G29;Mellener Str. 38-42;12307;Grundschule;52.3862;13.40487
Annedore-Leber-Grundschule;Tempelhof-Schöneberg;Sanierung des Daches über dem Freizeitbereich;80000;07G30;Halker Zeile 137-149;12305;Grundschule;52.39757;13.40197
Bruno-H.-Bürgel-Grundschule;Tempelhof-Schöneberg;Fassadensanierung;1500000;07G32;Rackebüller Weg 70;12305;Grundschule;52.404902;13.402536
Marienfelder Schule (Grundschule);Tempelhof-Schöneberg;Sanierung der Klassenräume und Außenanlagen, Brandschutzsanierung, Barrierefreiheit, sonstige Funktionsanpassungen, Energetische Sanierung;3250000;07G34;Erbendorfer Weg 13;12279;Grundschule;52.41209;13.35184
Gustav-Heinemann-Schule;Tempelhof-Schöneberg;Sanierung des Regenwassersystems im Bereich der Sporthalle;1200000;07K03;Waldsassener Str. 62;12279;Integrierte Sekundarschule;52.40662;13.34754
Theodor-Haubach-Schule;Tempelhof-Schöneberg;Teilerneuerung der Elektroinstallationen mit Unterdecken;250000;07K04;Grimmstr. 9-11;12305;Integrierte Sekundarschule;52.398399;13.403988
Georg-von-Giesche-Schule;Tempelhof-Schöneberg;Feuchtesanierung KG, funkltionale Anpassungen, Toilettensanierung;800000;07K06;Hohenstaufenstr. 47-48;10779;Integrierte Sekundarschule;52.494144;13.342529
Johanna-Eck-Schule (Integrierte Sekundarschule);Tempelhof-Schöneberg;Teilsanierung der Freianlagen;125000;07K07;Ringstr. 103-106;12105;Integrierte Sekundarschule;52.44692;13.36411
Gustav-Langenscheidt-Schule;Tempelhof-Schöneberg;Div. Teilsanierungen zur Aufrechterhaltung des Betriebes, Einbau einer neuen Schließanlage;100000;07K09;Belziger Str. 43-51;10823;Integrierte Sekundarschule;52.485997;13.350718
Friedrich-Bergius-Schule;Tempelhof-Schöneberg;Sanierung der Aula einschließlich Dachtragwerk und Fassade;200000;07K10;Perelsplatz 6-9;12159;Integrierte Sekundarschule;52.47618;13.33314
Hugo-Gaudig-Schule;Tempelhof-Schöneberg;Einbau einer neuen Schließanlage;80000;07K11;Boelckestraße 58-60;12101;;52.478586;13.376498
Schule am Berlinickeplatz (Integrierte Sekundarschule);Tempelhof-Schöneberg;Div. Teilsanierungen mit funktionalen Verbesserungen;80000;07K13;Alt-Tempelhof 53-57;12103;Integrierte Sekundarschule;52.465657;13.379583
Steinwald-Schule;Tempelhof-Schöneberg;Instandsetzungsmaßnahmen Fassade;200000;07S03;Hanielweg 7-9;12277;"Förderschwerp.""Geistige Entwicklung""";52.41783;13.36458
Marianne-Cohn-Schule;Tempelhof-Schöneberg;Instandsetzung der Lüftungsanlage;50000;07S04;Holzmannstr. 7;12099;"Förderschwerp.""Geistige Entwicklung""";52.46433;13.41815
Rückert-Gymnasium;Tempelhof-Schöneberg;Div. Teilsanierungen zur Aufrechterhaltung des Betriebes;100000;07Y02;Mettestr. 8;10825;Gymnasium;52.48047;13.33924
Rheingau-Gymnasium;Tempelhof-Schöneberg;Sanierung und Umbau der Sporthalle, Sanierung der Einfriedung, Umbau der ehem. Hausmeisterwohnung (Vorbereitung);2650000;07Y03;Schwalbacher Str. 3-4;12161;Gymnasium;52.470206;13.322611
Luise-Henriette-Gymnasium;Tempelhof-Schöneberg;Sanierung, Umbau und Erweiterung;3000000;07Y05;Germaniastr. 4-6;12099;Gymnasium;52.46546;13.39059
Theodor-Storm-Schule (Grundschule);Neukölln;Sanierung Brandschutz;385000;08G02;Hobrechtstr. 76;12043;Grundschule;52.486488;13.426763
Hans-Fallada-Schule (Grundschule);Neukölln;Sanierung MUR-Dach und Abhangdecken (Flure+Klassenräume), Sanierung Sanitär, Dach, Fassade, Innenausbau;1615000;08G03;Harzer Str. 73;12059;Grundschule;52.483564;13.451851
Hermann-Sander-Schule (Grundschule);Neukölln;Sanierung der Ziegeldacheindeckung;150000;08G15;Mariendorfer Weg 69;12051;Grundschule;52.46416;13.43005
Eduard-Mörike-Schule (Grundschule);Neukölln;Sanierung der Akustik in den Klassenraum;50000;08G18;Stuttgarter Str. 35-39;12059;Grundschule;52.477969;13.450143
Michael-Ende-Schule (Grundschule);Neukölln;Sanierung Umkleiden und Duschen sowie Decken- und Schadstoffsanierung;350000;08G25;Neuhofer Str. 41;12355;Grundschule;52.41346;13.50984
Matthias-Claudius-Schule (Grundschule);Neukölln;Sanierung Fenster und Erneuerung Bodenbeläge;450000;08G28;Köpenicker Str. 148;12355;Grundschule;52.420381;13.501675
Rose-Oehmichen-Schule (Grundschule);Neukölln;Sanierung der Fassade: Risse im WDVS und Sockelbereich;50000;08G37;Lieselotte-Berger-Str. 65;12355;Grundschule;52.401126;13.501995
Walter-Gropius-Schule (Gemeinschaftsschule);Neukölln;Sanierung Sanitärräume (B+C-Sterne)/Schaffung 2. Rettungsweg, Schaffung 2. RW in den B-Sternen (B1 bis B3)/Bypässe;145000;08K01;Fritz-Erler-Allee 86;12351;Integrierte Sekundarschule;52.42934;13.46355
Hermann-von-Helmholtz-Schule;Neukölln;Energetische Sanierung Dach/Fassade/Sonnenschutz;1000000;08K02;Wutzkyallee 68;12353;Integrierte Sekundarschule;52.421823;13.472974
Fritz-Karsen-Schule (Gemeinschaftsschule);Neukölln;Sanierung der Sanitäranlagen, Neubau Aufzug, Sanierung des historischen Auladaches;1537000;08K06;Onkel-Bräsig-Str. 76-78;12359;Integrierte Sekundarschule;52.44865;13.44389
Alfred-Nobel-Schule;Neukölln;Sanierung Brandschutz im Flur;450000;08K11;Britzer Damm 164;12347;Integrierte Sekundarschule;52.448;13.43469
Schule am Zwickauer Damm;Neukölln;Sanierung der Sanitäranlagen;215000;08S04;Zwickauer Damm 17-22;12353;Integrierte Sekundarschule;52.422;13.48315
Schule am Bienwaldring;Neukölln;Schaffung Barrierefreiheit (Aufzug) sowie Sanierung Brandschutz;1000000;08S07;Breitunger Weg 1;12349;"Förderschwerp.""Geistige Entwicklung""";52.42178;13.42537
Treptow-Kolleg;Treptow-Köpenick;Brandschutzmaßnahmen, Erneuerung der Elektro - und Schwachstromanlage;750000;09A05;Kiefholzstr. 274;12437;Volkshochschul-Kolleg;52.46818;13.48463
Schule am Ginkobaum (Grundschule);Treptow-Köpenick;Sanierung Außenanlagen nach Erneuerung aller Grundleitungen;670000;09G05;Springbornstr. 250;12487;Grundschule;52.44014;13.4979
