Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
12G11;Ringelnatz-Grundschule;Wilhelm-Gericke-Str. 7;13437;Berlin;Sanierung Elektro;27.000 €
12G11;Ringelnatz-Grundschule;Wilhelm-Gericke-Str. 7;13437;Berlin;Sanierung Sanitär, Heizung, 2. BA;200.000 €
12G15;Hoffmann-von-Fallersleben-G;Ziekowstr. 80-88;13509;Berlin;Sanierung Schulhof;220.000 €
12G18;Grundschule am Tegelschen Ort;Gerlindeweg 11-23;13505;Berlin;Sanierung Schulhof;250.000 €
12G22;Gustav-Dreyer-Grundschule;Freiherr-vom-Stein-Str. 31;13467;Berlin;Sanierung Sanitär;225.000 €
12G23;Victor-Gollancz-Grundschule;Gollanczstr. 18-24;13465;Berlin;Sanierung Sanitär, 2. BA;25.000 €
12G26;Märkische Grundschule;Dannenwalder Weg 163-165;13439;Berlin;Sanierung einschl. Unterdecken / Akustikmaßnahmen, 1. BA;303.000 €
12G28;Grundschule in den Rollbergen;WaldSporthalleuter Zeile 6;13469;Berlin;Sanierung Heizung, 2. BA;150.000 €
12G30;Reineke-Fuchs-Grundschule;Foxweg 15;13403;Berlin;Gesamtsanierung einschl. Sanitär, 1. BA;25.000 €
12K01;Julius-Leber-Schule;Treskowstr. 26-31;13507;Berlin;Sanierung Fassade Altbau, 2. BA;300.000 €
12K02;Bettina-von-Arnim-Schule;Senftenberger Ring 49;13435;Berlin;Sanierung Kochküche;0 €
12K03;Max-Beckmann-Schule;Auguste-Viktoria-Allee 37;13403;Berlin;Sanierung naturwissenschaftliche Räume;50.000 €
12K07;Jean-Krämer-Schule;Alt-Wittenau 8-12;13437;Berlin;Sanierung Elektro;26.000 €
12K07;Jean-Krämer-Schule;Alt-Wittenau 8-12;13437;Berlin;Sanierung Schulhof;60.000 €
12K11;Albrecht-Hauhofer-Schule;Kurzebracker Weg 40-46;13503;Berlin;Sanierung Schulhof;250.000 €
12S01;Stötzner-Schule;Tietzstr. 26-28;13509;Berlin;Sanierung Sanitär, 1. BA;225.000 €
12S06;Toulouse-Lautrec-Schule;Miraustr. 120-126;13509;Berlin;Sanierung Sanitär Schwimmbad, 2. BA;250.000 €
12Y01;Friedrich-Engels-Gymnasium;Emmentaler Str. 67;13407;Berlin;Sanierung Dach, Fassade, 2. BA;1.230.000 €
12Y01;Friedrich-Engels-Gymnasium;Emmentaler Str. 67;13407;Berlin;Sanierung Sanitär, 2. BA;575.000 €
12Y03;Humboldt-Gymnasium;Hatzfeldtallee 2-4;13509;Berlin;Sanierung Dach, 2. BA;150.000 €
