BSN;NAME;AnzahlAktiveLehrkraefte;DarunterAnzahlAktiveQuereinsteigende;Davon1FachQuereinsteigende;Davon2FachQuereinsteigende;AnteilQuereinsteigendeAnLehrkraefte
11G01;Sonnenuhr-Schule (Grundschule);33;1;0;1;3%
11G02;Schule am Roederplatz (Grundschule);34;5;2;3;15%
11G03;Schule im Gutspark (Grundschule);33;2;1;1;6%
11G05;Schule auf dem lichten Berg (Grundschule);30;5;3;2;17%
11G06;Adam-Ries-Schule (Grundschule);27;2;0;2;7%
11G07;Hermann-Gmeiner-Schule (Grundschule);28;5;2;3;18%
11G08;Robinson-Schule (Grundschule);22;3;2;1;14%
11G09;Bürgermeister-Ziethen-Schule (Grundschule);37;5;4;1;14%
11G10;Schule im Ostseekarree (Grundschule);26;2;2;0;8%
11G11;Bernhard-Grzimek-Schule (Grundschule);34;2;1;1;6%
11G12;Lew-Tolstoi-Schule (Grundschule);36;2;1;1;6%
11G13;Karlshorster Schule (Grundschule);36;3;2;1;8%
11G14;Richard-Wagner-Schule (Grundschule);40;2;1;1;5%
11G16;Schule an der Victoriastadt (Grundschule);29;0;0;0;0%
11G17;Brodowin-Schule (Grundschule);39;3;1;2;8%
11G18;Schule am Wilhelmsberg (Grundschule);35;3;0;3;9%
11G19;Obersee-Schule (Grundschule);27;3;1;2;11%
11G21;Schule am Faulen See (Grundschule);27;1;1;0;4%
11G22;Martin-Niemöller-Grundschule;45;6;4;2;13%
11G23;Friedrichsfelder Schule (Grundschule);33;3;3;0;9%
11G25;Schule am Wäldchen (Grundschule);33;2;0;2;6%
11G26;Randow-Schule (Grundschule);25;2;2;0;8%
11G28;Feldmark-Schule (Grundschule);45;4;3;1;9%
11G29;Matibi-Schule (Grundschule);37;1;0;1;3%
11G31;Schmetterlings-Grundschule;18;2;2;0;11%
11G32;32. Schule (Grundschule);10;0;0;0;0%
12G01;Havelmüller-Grundschule;24;2;2;0;8%
12G02;Grundschule am Schäfersee;36;4;2;2;11%
12G03;Reginhard-Grundschule;32;5;3;2;16%
12G04;Till-Eulenspiegel-Grundschule;28;1;0;1;4%
12G05;Kolumbus-Grundschule;47;7;6;1;15%
12G06;Hausotter-Grundschule;32;1;1;0;3%
12G07;Mark-Twain-Grundschule;37;2;0;2;5%
12G09;Grundschule an der Peckwisch;40;4;1;3;10%
12G10;Peter-Witte-Grundschule;24;1;0;1;4%
12G11;Ringelnatz-Grundschule;24;2;1;1;8%
12G12;Borsigwalder Grundschule;31;3;1;2;10%
12G13;Franz-Marc-Grundschule;31;2;1;1;6%
12G14;Alfred-Brehm-Grundschule;26;2;1;1;8%
12G15;Hoffmann-von-Fallersleben-Grundschule;26;1;1;0;4%
12G17;Ellef-Ringnes-Grundschule;23;2;1;1;9%
12G18;Grundschule am Tegelschen Ort;27;0;0;0;0%
12G19;Münchhausen-Grundschule;29;2;0;2;7%
12G20;Grundschule am Vierrutenberg;28;2;1;1;7%
12G21;Grundschule am Fließtal;31;0;0;0;0%
12G22;Gustav-Dreyer-Grundschule;29;0;0;0;0%
12G23;Victor-Gollancz-Grundschule;41;0;0;0;0%
12G24;Renée-Sintenis-Grundschule;33;0;0;0;0%
12G26;Märkische Grundschule;38;0;0;0;0%
12G27;Chamisso-Grundschule;44;3;3;0;7%
12G28;Grundschule in den Rollbergen;30;5;3;2;17%
12G29;Hermann-Schulz-Grundschule;33;2;2;0;6%
12G30;Reineke-Fuchs-Grundschule;40;2;0;2;5%
12G32;Charlie-Chaplin-Grundschule;40;1;1;0;3%
12G33;Lauterbach-Grundschule;50;3;0;3;6%
12G34;Otfried-Preußler-Grundschule;37;2;2;0;5%
01K01;Willy-Brandt-Schule;52;11;4;7;21%
01K02;Ernst-Schering-Schule;56;4;1;3;7%
01K03;Ernst-Reuter-Schule;111;12;3;9;11%
01K04;Heinrich-von-Stephan-Schule (Gemeinschaftsschule);69;3;0;3;4%
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);47;2;0;2;4%
01K07;Hemingway-Schule;44;2;0;2;5%
01K08;Schule am Schillerpark (Integrierte Sekundarschule);66;2;0;2;3%
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);49;3;1;2;6%
01K10;Theodor-Heuss-Gemeinschaftsschule;106;3;2;1;3%
02K01;Ellen-Key-Schule;72;0;0;0;0%
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);131;6;2;4;5%
02K03;Hector-Peterson-Schule;36;2;1;1;6%
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);60;0;0;0;0%
02K05;Schule am Königstor (Integrierte Sekundarschule);46;4;2;2;9%
02K06;Emanuel-Lasker-Schule;39;4;3;1;10%
02K07;Georg-Weerth-Schule;36;0;0;0;0%
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);59;2;0;2;3%
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);24;1;1;0;4%
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);33;0;0;0;0%
03K01;Kurt-Schwitters-Schule;88;3;0;3;3%
03K02;Kurt-Tucholsky-Schule (Integrierte Sekundarschule);69;0;0;0;0%
03K03;Konrad-Duden-Schule (Integrierte Sekundarschule);34;1;0;1;3%
03K04;Gustave-Eiffel-Schule;39;1;0;1;3%
03K05;Heinz-Brandt-Schule;44;2;1;1;5%
03K06;Reinhold-Burger-Schule;46;4;2;2;9%
03K07;Tesla-Schule (Gemeinschaftsschule);41;1;1;0;2%
03K08;Hagenbeck-Schule;38;1;0;1;3%
03K09;Janusz-Korczak-Schule (Integrierte Sekundarschule);31;0;0;0;0%
03K10;Hufeland-Schule (Integrierte Sekundarschule);48;3;1;2;6%
03K11;Wilhelm-von-Humboldt-Schule (Gemeinschaftsschule);72;6;1;5;8%
04A08;Sportschule im Olympiapark - Poelchau-Schule;57;4;0;4;7%
04K02;Friedensburg-Schule;109;0;0;0;0%
04K03;Robert-Jungk-Schule;101;0;0;0;0%
04K04;Nelson-Mandela-Schule;140;0;0;0;0%
04K05;Paula-Fürst-Schule (Gemeinschaftsschule);94;4;2;2;4%
04K06;Schule am Schloss (Integrierte Sekundarschule);46;1;0;1;2%
04K07;Integrierte Sekundarschule Wilmersdorf;35;2;0;2;6%
04K08;Peter-Ustinov-Schule;58;6;3;3;10%
04K09;Otto-von-Guericke-Schule (Integrierte Sekundarschule);41;2;0;2;5%
05K01;Martin-Buber-Oberschule (Integrierte Sekundarschule);95;1;0;1;1%
05K02;Carlo-Schmid-Oberschule (Integrierte Sekundarschule);94;6;2;4;6%
05K03;Bertolt-Brecht-Oberschule (Integrierte Sekundarschule);103;4;0;4;4%
05K04;Heinrich-Böll-Oberschule (Integrierte Sekundarschule);87;9;3;6;10%
05K05;B.-Traven-Gemeinschaftsschule;42;3;1;2;7%
05K06;Wolfgang-Borchert-Schule (Integrierte Sekundarschule);52;1;1;0;2%
05K07;Schule an der Jungfernheide (Integrierte Sekundarschule);44;1;0;1;2%
05K08;Schule an der Haveldüne (Integrierte Sekundarschule);65;1;1;0;2%
05K09;Schule am Staakener Kleeblatt (Integrierte Sekundarschule);27;2;2;0;7%
06K01;John-F.-Kennedy-Schule;150;1;0;1;1%
06K02;Wilma-Rudolph-Schule (Integrierte Sekundarschule);90;1;0;1;1%
06K03;Kopernikus-Schule (Integrierte Sekundarschule);83;4;2;2;5%
06K04;Bröndby-Schule (Integrierte Sekundarschule);98;3;1;2;3%
06K08;Max-von-Laue-Schule;42;2;0;2;5%
06K09;Gail-S.-Halvorsen-Integrierte Sekundarschule;46;5;2;3;11%
06K10;Helene-Lange-Schule (Integrierte Sekundarschule);51;0;0;0;0%
06K11;Anna-Essinger-Gemeinschaftsschule;95;7;2;5;7%
07K01;Sophie-Scholl-Schule;118;1;0;1;1%
07K02;Carl-Zeiss-Schule;92;3;0;3;3%
07K03;Gustav-Heinemann-Oberschule;107;1;0;1;1%
07K04;Theodor-Haubach-Schule;36;2;0;2;6%
07K05;Solling-Schule;46;2;1;1;4%
07K06;Georg-von-Giesche-Schule;50;2;1;1;4%
07K07;Johanna-Eck-Schule (Integrierte Sekundarschule);61;0;0;0;0%
07K09;Gustav-Langenscheidt-Schule;40;0;0;0;0%
07K10;Friedrich-Bergius-Schule;39;0;0;0;0%
